GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2003,MUMPS,Mumps,"per 1,000,000 total population",175.1
WHO_REGIONS,AFR,African Region,2003,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2003,PERTUSSIS,Pertussis,"per 1,000,000 total population",39.8
WHO_REGIONS,AFR,African Region,2003,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.4
WHO_REGIONS,AFR,African Region,2003,RUBELLA,Rubella,"per 1,000,000 total population",16.0
WHO_REGIONS,AFR,African Region,2003,TTETANUS,Total tetanus,"per 1,000,000 total population",6.6
WHO_REGIONS,AFR,African Region,2003,YFEVER,Yellow fever,"per 1,000,000 total population",1.1
WHO_REGIONS,AFR,African Region,2002,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2002,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",2.0
WHO_REGIONS,AFR,African Region,2002,MEASLES,Measles,"per 1,000,000 total population",409.7
WHO_REGIONS,AFR,African Region,2002,MUMPS,Mumps,"per 1,000,000 total population",130.3
WHO_REGIONS,AFR,African Region,2002,NTETANUS,Neonatal tetanus,per 1000 live births,0.2
WHO_REGIONS,AFR,African Region,2002,PERTUSSIS,Pertussis,"per 1,000,000 total population",37.9
WHO_REGIONS,AFR,African Region,2002,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.7
WHO_REGIONS,AFR,African Region,2002,RUBELLA,Rubella,"per 1,000,000 total population",11.4
WHO_REGIONS,AFR,African Region,2002,TTETANUS,Total tetanus,"per 1,000,000 total population",23.2
WHO_REGIONS,AFR,African Region,2002,YFEVER,Yellow fever,"per 1,000,000 total population",1.3
WHO_REGIONS,AFR,African Region,2001,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2001,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",6.2
WHO_REGIONS,AFR,African Region,2001,MEASLES,Measles,"per 1,000,000 total population",723.8
WHO_REGIONS,AFR,African Region,2001,MUMPS,Mumps,"per 1,000,000 total population",356.2
WHO_REGIONS,AFR,African Region,2001,NTETANUS,Neonatal tetanus,per 1000 live births,0.2
WHO_REGIONS,AFR,African Region,2001,PERTUSSIS,Pertussis,"per 1,000,000 total population",93.9
WHO_REGIONS,AFR,African Region,2001,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.2
WHO_REGIONS,AFR,African Region,2001,RUBELLA,Rubella,"per 1,000,000 total population",21.1
WHO_REGIONS,AFR,African Region,2001,TTETANUS,Total tetanus,"per 1,000,000 total population",15.0
WHO_REGIONS,AFR,African Region,2001,YFEVER,Yellow fever,"per 1,000,000 total population",1.0
WHO_REGIONS,AFR,African Region,2000,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2000,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",10.2
WHO_REGIONS,AFR,African Region,2000,MEASLES,Measles,"per 1,000,000 total population",821.3
WHO_REGIONS,AFR,African Region,2000,MUMPS,Mumps,"per 1,000,000 total population",850.0
WHO_REGIONS,AFR,African Region,2000,NTETANUS,Neonatal tetanus,per 1000 live births,0.2
WHO_REGIONS,AFR,African Region,2000,PERTUSSIS,Pertussis,"per 1,000,000 total population",113.2
WHO_REGIONS,AFR,African Region,2000,POLIO,Poliomyelitis,"per 1,000,000 <15 population",6.3
WHO_REGIONS,AFR,African Region,2000,RUBELLA,Rubella,"per 1,000,000 total population",15.8
WHO_REGIONS,AFR,African Region,2000,TTETANUS,Total tetanus,"per 1,000,000 total population",12.6
